test,outcome,row,rowname,prew,postw,c1,c2,c3,c4,c5,c6,c7,matrix_type
T6_real_far750,lnp,5,tau0,4,3,.0154334864296063,.0216916435427544,.71,.4769,-.0271043795537015,.0579713524129141,11862,event
T6_real_far750,lnp,6,tau1,4,3,.0358829008209475,.0215133926979792,1.67,.0955,-.0063063911867495,.0780721928286444,10497,event
T6_real_far750,lnp,7,tau2,4,3,.0834698395900578,.0261804635504861,3.19,.0015,.0321266413352064,.1348130378449092,9260,event
T6_real_far750,lnp,8,tau3,4,3,.0610952346340485,.0257527403306672,2.37,.0178,.0105885150104536,.1116019542576435,7976,event
T7_buy_nh,buy_nh,1,pre4,4,3,.0125272974308781,.0096606433939833,1.3,.1949,-.0064183041111747,.0314728989729308,8434,event
T7_buy_nh,buy_nh,1,Pre,4,3,.0145716126374975,.0076491510989206,1.9,.0569,-.0004295903937483,.0295728156687434,8274,pooled
T7_buy_nh,buy_nh,2,pre3,4,3,.0044933447080637,.0100962290580344,.45,.6563,-.0153063999889114,.0242930894050387,9607,event
T7_buy_nh,buy_nh,2,Post,4,3,.0224646715386742,.0087450746177961,2.57,.0103,.0053129182618541,.0396164248154943,8059,pooled
T7_buy_nh,buy_nh,3,pre2,4,3,.0038904471078322,.0095628245248132,.41,.6842,-.0148630969932003,.0226439912088648,10799,event
T7_buy_nh,buy_nh,4,pre1,4,3,0,,,,,,,event
T7_buy_nh,buy_nh,5,tau0,4,3,.0151158844238098,.0099846917494904,1.51,.1302,-.0044646330423545,.0346964018899741,12121,event
T7_buy_nh,buy_nh,6,tau1,4,3,.0292500521084852,.0103670713298274,2.82,.0048,.0089190779246851,.0495810262922853,10758,event
T7_buy_nh,buy_nh,7,tau2,4,3,.0235455247474691,.0106146839373536,2.22,.0267,.0027283883718997,.0443626611230385,9491,event
T7_buy_nh,buy_nh,8,tau3,4,3,.0434986253116389,.0117688749016073,3.7,.0002,.0204168629384611,.0665803876848166,8189,event
T7_isl2main,isl2main,1,pre4,4,3,-.0016141417273564,.0089751162162454,-.18,.8573000000000001,-.0192158551309592,.0159875716762464,8220,event
T7_isl2main,isl2main,1,Pre,4,3,-.0014296035786325,.0066167857358341,-.22,.8290000000000001,-.0144066962535951,.01154748909633,8015,pooled
T7_isl2main,isl2main,2,pre3,4,3,-.0063396436507302,.0079844381707805,-.79,.4273,-.0219983596966477,.0093190723951872,9390,event
T7_isl2main,isl2main,2,Post,4,3,.0091449519075991,.008148432240686,1.12,.2619,-.006837053842483,.0251269576576812,7853,pooled
T7_isl2main,isl2main,3,pre2,4,3,.0013218164523306,.0090498311783074,.15,.8839,-.0164261927325729,.019069825637234,10553,event
T7_isl2main,isl2main,4,pre1,4,3,0,,,,,,,event
T7_isl2main,isl2main,5,tau0,4,3,.006649054479267,.0087333389646118,.76,.4465,-.0104778278131468,.0237759367716809,11895,event
T7_isl2main,isl2main,6,tau1,4,3,.0132229047973771,.0096317849190258,1.37,.17,-.0056665240900593,.0321123336848134,10531,event
T7_isl2main,isl2main,7,tau2,4,3,.0128348058593593,.0098810703722408,1.3,.1941,-.0065440810750172,.0322136927937357,9283,event
T7_isl2main,isl2main,8,tau3,4,3,.0316652835742903,.0107872389531644,2.94,.0034,.0105083217920383,.0528222453565423,8014,event
T7_main2main,main2main,1,pre4,4,3,.0072735860034508,.0060790750881055,1.2,.2316,-.0046485033468949,.0191956753537965,8220,event
T7_main2main,main2main,1,Pre,4,3,.0078230014719907,.0048613695800674,1.61,.1077,-.0017113020533789,.0173573049973602,8015,pooled
T7_main2main,main2main,2,Post,4,3,.0041233993412257,.0052637544803844,.78,.4335,-.0062007160085317,.0144475146909831,7853,pooled
T7_main2main,main2main,2,pre3,4,3,.0083832722018145,.0065374964240903,1.28,.1999,-.0044377676718056,.0212043120754346,9390,event
T7_main2main,main2main,3,pre2,4,3,.0108209589551361,.006429961626815,1.68,.0926,-.0017891125216484,.0234310304319206,10553,event
T7_main2main,main2main,4,pre1,4,3,0,,,,,,,event
T7_main2main,main2main,5,tau0,4,3,-.000586411948295,.0058134023207892,-.1,.9197000000000001,-.0119870294749992,.0108142055784092,11895,event
T7_main2main,main2main,6,tau1,4,3,.014102406910201,.0065174197918753,2.16,.0306,.0013207326179297,.0268840812024723,10531,event
T7_main2main,main2main,7,tau2,4,3,.0107952673149419,.007382294358497,1.46,.1438,-.0036829867911622,.0252735214210459,9283,event
T7_main2main,main2main,8,tau3,4,3,.0143649344414075,.0084771353433515,1.69,.0903,-.002261231833481,.030991100716296,8014,event
T7_netin,netin,1,Pre,4,3,-.0048256744762001,.0099284812380196,-.49,.627,-.0242977907409963,.014646441788596,8015,pooled
T7_netin,netin,1,pre4,4,3,-.0121125355348766,.0137722240336393,-.88,.3792,-.0391221847170842,.0148971136473309,8220,event
T7_netin,netin,2,Post,4,3,.0148300707227089,.0125883631882255,1.18,.2389,-.0098602361873481,.0395203776327659,7853,pooled
T7_netin,netin,2,pre3,4,3,-.0120608332109998,.0122849027364646,-.98,.3263,-.036153424259671,.0120317578376715,9390,event
T7_netin,netin,3,pre2,4,3,-.0050033944460743,.0127075619688262,-.39,.6938000000000001,-.0299247351978295,.0199179463056808,10553,event
T7_netin,netin,4,pre1,4,3,0,,,,,,,event
T7_netin,netin,5,tau0,4,3,-.0030767112889012,.0120771819279796,-.25,.7989000000000001,-.0267611776931854,.0206077551153829,11895,event
T7_netin,netin,6,tau1,4,3,.0079029832842551,.0133580286142869,.59,.5542,-.0182941892758891,.0341001558443993,10531,event
T7_netin,netin,7,tau2,4,3,.0245457982389967,.0135026584919445,1.82,.0692,-.0019357955935904,.0510273920715838,9283,event
T7_netin,netin,8,tau3,4,3,.0381751416787108,.0150205313917336,2.54,.0111,.0087154430492666,.0676348403081549,8014,event
T7_sell_nh,sell_nh,1,pre4,4,3,.0047197564419834,.0101360118528578,.47,.6415000000000001,-.0151581751268612,.0245976880108281,8398,event
T7_sell_nh,sell_nh,1,Pre,4,3,.0026141957188195,.0075259435807011,.35,.7284,-.0121455298385202,.0173739212761592,8212,pooled
T7_sell_nh,sell_nh,2,pre3,4,3,.0030013738787875,.0094213612385702,.32,.7501,-.0154749165408931,.0214776642984681,9580,event
