tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72111730200,2022,10,0,0,0
72111730200,2023,14,0,0,0
72111730200,2024,10,0,0,0
72111730200,2025,14,1,0,0
72111730200,2026,2,0,0,0
72111730300,2000,13,0,0,0
72111730300,2001,10,0,0,0
72111730300,2002,21,0,0,0
72111730300,2003,16,0,0,0
72111730300,2004,25,0,0,0
72111730300,2005,74,0,0,0
72111730300,2006,17,0,0,0
72111730300,2007,32,1,0,0
72111730300,2008,23,0,0,0
72111730300,2009,30,0,0,0
72111730300,2010,28,0,0,0
72111730300,2011,38,1,0,0
72111730300,2012,17,1,0,0
72111730300,2013,18,0,0,0
72111730300,2014,13,1,1,0
72111730300,2015,16,0,0,0
72111730300,2016,20,0,0,0
72111730300,2017,19,0,0,0
72111730300,2018,27,0,0,0
72111730300,2019,27,0,0,0
72111730300,2020,17,1,0,0
72111730300,2021,31,0,0,0
72111730300,2022,30,1,0,0
72111730300,2023,42,4,0,0
72111730300,2024,25,1,0,0
72111730300,2025,28,2,0,0
72111730300,2026,7,0,0,0
72111730400,2000,6,0,0,0
72111730400,2001,4,0,0,0
72111730400,2002,8,1,0,0
72111730400,2003,10,0,0,0
72111730400,2004,10,0,0,0
72111730400,2005,10,0,0,0
72111730400,2006,12,0,0,0
72111730400,2007,13,0,0,0
72111730400,2008,11,0,0,0
72111730400,2009,7,0,0,0
72111730400,2010,9,1,0,0
72111730400,2011,8,0,0,0
72111730400,2012,8,0,0,0
72111730400,2013,8,0,0,0
72111730400,2014,12,0,0,0
72111730400,2015,18,1,0,0
72111730400,2016,15,0,0,0
72111730400,2017,4,0,0,0
72111730400,2018,3,0,0,0
72111730400,2019,12,1,0,0
72111730400,2020,7,0,0,0
72111730400,2021,19,0,0,0
72111730400,2022,27,9,0,0
72111730400,2023,9,0,0,0
72111730400,2024,19,1,1,0
72111730400,2025,17,1,0,0
72111730400,2026,4,0,0,0
72111730700,2000,13,0,0,0
72111730700,2001,11,0,0,0
72111730700,2002,17,0,0,0
72111730700,2003,14,0,0,0
72111730700,2004,18,1,0,0
72111730700,2005,7,0,0,0
72111730700,2006,17,0,0,0
72111730700,2007,17,0,0,0
72111730700,2008,23,0,0,0
72111730700,2009,11,0,0,0
72111730700,2010,13,1,0,0
72111730700,2011,19,0,0,0
72111730700,2012,13,2,0,0
72111730700,2013,14,0,0,0
72111730700,2014,14,0,0,0
72111730700,2015,8,0,0,0
72111730700,2016,20,1,0,0
72111730700,2017,9,0,0,0
72111730700,2018,18,0,0,0
72111730700,2019,11,0,0,0
72111730700,2020,16,5,0,0
72111730700,2021,15,1,1,0
72111730700,2022,21,1,0,0
72111730700,2023,19,1,1,0
72111730700,2024,24,0,0,0
72111730700,2025,26,0,0,0
72111730700,2026,6,0,0,0
72111730800,2000,5,0,0,0
72111730800,2001,2,0,0,0
72111730800,2002,17,1,0,0
72111730800,2003,9,0,0,0
72111730800,2004,5,0,0,0
72111730800,2005,5,0,0,0
72111730800,2006,8,0,0,0
72111730800,2007,10,0,0,0
72111730800,2008,22,2,0,0
72111730800,2009,12,0,0,0
72111730800,2010,9,1,0,0
72111730800,2011,12,0,0,0
72111730800,2012,10,1,0,0
72111730800,2013,17,2,0,0
72111730800,2014,7,1,1,0
72111730800,2015,9,0,0,0
72111730800,2016,13,0,0,0
72111730800,2017,11,0,0,0
72111730800,2018,17,0,0,0
72111730800,2019,12,2,0,0
72111730800,2020,9,0,0,0
72111730800,2021,13,1,0,0
72111730800,2022,16,2,0,0
72111730800,2023,23,2,0,0
72111730800,2024,21,2,0,0
72111730800,2025,11,1,0,0
72111730800,2026,10,3,0,0
72113070100,2000,14,1,0,0
72113070100,2001,24,1,1,0
72113070100,2002,29,1,0,0
72113070100,2003,28,0,0,0
72113070100,2004,38,1,0,0
72113070100,2005,41,1,0,0
