tract_geoid,med_hh_inc,med_value,med_rent,poverty,ba_share,renter_share,vacancy,seasonal_share,mainland_share,pop
72113071402,22000.0,112500.0,528.0,0.37074,0.31458,0.26597,0.11175,0.03301,0.04725,4677
72113071500,17577.0,101800.0,596.0,0.39181,0.3806,0.41323,0.21966,0.01585,0.05237,4201
72113071601,22770.0,110500.0,683.0,0.32201,0.40393,0.17773,0.18712,0.01305,0.04327,2473
72113071602,8174.0,80700.0,253.0,0.78287,0.04065,0.55853,0.21877,0.0,0.08832,4291
72113071700,22250.0,117200.0,572.0,0.33602,0.47684,0.35115,0.27231,0.02822,0.04298,2164
72113071800,11027.0,55100.0,285.0,0.63708,0.20114,0.55906,0.25622,0.02196,0.01889,2276
72113071900,9601.0,76300.0,210.0,0.7272,0.11652,0.65718,0.10563,0.0,0.05182,4824
72113072000,22244.0,123100.0,643.0,0.24511,0.39118,0.22687,0.11996,0.02627,0.03508,2366
72113072101,11875.0,45200.0,218.0,0.64641,0.06278,0.48543,0.10171,0.0,0.03324,2196
72113072102,26961.0,113300.0,694.0,0.25947,0.29424,0.17567,0.07946,0.02184,0.07316,5686
72113072201,18242.0,107500.0,211.0,0.54887,0.26089,0.33955,0.10774,0.0,0.02892,4150
72113072202,27500.0,111200.0,650.0,0.25391,0.3358,0.14709,0.08776,0.0,0.04542,5284
72113072300,10739.0,64400.0,256.0,0.73701,0.04733,0.29377,0.18599,0.05918,0.03712,1886
72113072400,23616.0,105100.0,678.0,0.41859,0.31195,0.17435,0.10937,0.02128,0.04676,7121
72113072500,28574.0,119000.0,446.0,0.34944,0.30788,0.17782,0.1272,0.0148,0.04028,7523
72113072600,13210.0,76500.0,354.0,0.60014,0.10474,0.20943,0.21918,0.05137,0.02585,2901
72113072701,24045.0,101900.0,658.0,0.34864,0.25726,0.24262,0.07224,0.02053,0.06357,3901
72113072703,18259.0,98300.0,395.0,0.51132,0.28155,0.14043,0.12407,0.02077,0.0465,4989
72113072704,7148.0,77600.0,99.0,0.79808,0.05348,0.33216,0.11765,0.03612,0.01536,2605
72113072900,24898.0,128200.0,526.0,0.34887,0.30164,0.20325,0.13412,0.04409,0.05212,7617
72113073001,12717.0,90200.0,338.0,0.47091,0.16648,0.30022,0.15955,0.03989,0.02185,2792
72113073002,13212.0,74000.0,336.0,0.61696,0.10592,0.20578,0.21289,0.06067,0.0586,4488
72113073003,14234.0,109900.0,228.0,0.58225,0.20052,0.49793,0.05844,0.0,0.02715,2468
72113073004,18359.0,102700.0,547.0,0.48414,0.1911,0.18826,0.0791,0.0145,0.0335,4478
72113073005,32731.0,109400.0,685.0,0.20479,0.27813,0.1165,0.05877,0.02719,0.03706,3589
72113073006,13671.0,69900.0,573.0,0.58462,0.08945,0.26282,0.20697,0.03776,0.06311,3486
72113073009,9341.0,71700.0,673.0,0.81932,0.08259,0.21494,0.11531,0.03641,0.03346,4573
72113073010,30204.0,109000.0,630.0,0.26003,0.34972,0.11907,0.11356,0.02605,0.07314,4211
72113980001,,,,,0.01218,,,,0.10446,3676
72113993000,,,,,,,,,,0
72115330100,12675.0,105600.0,289.0,0.54798,0.1647,0.37288,0.11387,0.00978,0.07655,8086
72115330200,8453.0,100200.0,147.0,0.66598,0.08161,0.51619,0.15011,0.00602,0.11624,6323
72115330300,13570.0,106300.0,379.0,0.56978,0.16028,0.37726,0.07392,0.0,0.1095,6192
72115330400,13883.0,101800.0,355.0,0.59844,0.15253,0.28233,0.16987,0.0,0.08915,5384
72115990000,,,,,,,,,,0
72117959401,18616.0,109100.0,552.0,0.40615,0.2268,0.18935,0.2781,0.09318,0.132,5735
72117959500,14288.0,105100.0,369.0,0.59665,0.15062,0.33511,0.23931,0.08844,0.10871,3523
72117959602,15673.0,121600.0,480.0,0.57473,0.17207,0.15476,0.34884,0.19887,0.08024,5945
72117990400,,,,,,,,,,0
72119130101,19816.0,111200.0,429.0,0.50684,0.10789,0.18823,0.30574,0.23001,0.0774,6421
72119130102,42694.0,167400.0,798.0,0.19387,0.38199,0.05516,0.49159,0.43214,0.06341,6419
72119130200,14722.0,100500.0,390.0,0.60441,0.18445,0.41404,0.32295,0.09918,0.07111,1997
72119130300,24760.0,119300.0,735.0,0.32093,0.19442,0.09285,0.11362,0.02039,0.09298,4119
72119130401,27236.0,117300.0,294.0,0.28279,0.27236,0.16228,0.09877,0.01225,0.04093,3836
72119130402,17147.0,87500.0,470.0,0.55491,0.14623,0.2039,0.13893,0.04427,0.04736,5743
72119130500,20032.0,113300.0,255.0,0.37629,0.16037,0.28519,0.06203,0.00794,0.04531,5804
72119130601,17016.0,112800.0,499.0,0.53783,0.16261,0.19897,0.23791,0.04379,0.07828,3845
72119130602,27091.0,125200.0,468.0,0.33061,0.24461,0.18986,0.1585,0.0592,0.08713,5222
72119130701,16686.0,108700.0,479.0,0.51096,0.11375,0.17951,0.22332,0.08901,0.03051,6031
72119130704,18197.0,107500.0,411.0,0.50238,0.15028,0.22788,0.1747,0.03437,0.06352,4833
72119992700,,,,,,,,,,0
72121960300,16644.0,88700.0,355.0,0.49739,0.16116,0.1651,0.18997,0.0133,0.04584,6327
72121960400,24142.0,103000.0,295.0,0.32539,0.27477,0.22535,0.15123,0.01793,0.03793,4587
72121960500,12792.0,66600.0,377.0,0.61611,0.19399,0.47449,0.36706,0.03014,0.08519,1702
72121960600,14000.0,93600.0,138.0,0.51232,0.18798,0.34343,0.15094,0.0,0.02183,2840
72121960700,15776.0,86000.0,475.0,0.51237,0.12241,0.23644,0.17176,0.0,0.0311,5241
72121960800,12418.0,75800.0,430.0,0.63429,0.14398,0.19959,0.18645,0.04367,0.03992,4835
72123952600,11961.0,82900.0,,0.66343,0.05822,0.18696,0.19468,0.03571,0.05767,3607
72123952700,11174.0,82800.0,383.0,0.68265,0.07711,0.2376,0.27082,0.10093,0.05952,2940
72123952800,13281.0,77900.0,376.0,0.58223,0.06943,0.29742,0.13812,0.09286,0.08694,6763
72123952902,14850.0,87700.0,481.0,0.5153,0.20555,0.31968,0.20511,0.05752,0.07118,7811
72123953000,14750.0,92500.0,330.0,0.58125,0.17238,0.29795,0.13436,0.02317,0.01896,3481
72123953100,13654.0,86400.0,370.0,0.53403,0.17814,0.30967,0.19855,0.05932,0.05177,1719
72123953200,12096.0,82100.0,336.0,0.64458,0.1175,0.28442,0.2451,0.09118,0.08495,4944
72123992800,,,,,,,,,,0
72125840100,13063.0,82400.0,383.0,0.61843,0.06876,0.1674,0.19182,0.0207,0.05325,4845
72125840200,11840.0,80100.0,292.0,0.60896,0.12025,0.19189,0.20008,0.01375,0.05983,6117
72125840300,17534.0,78100.0,385.0,0.45936,0.16626,0.13373,0.15447,0.00656,0.04083,5364
72125840400,20517.0,98600.0,188.0,0.37148,0.31407,0.37809,0.04799,0.0,0.0348,6264
72125840500,15641.0,104200.0,332.0,0.48019,0.29474,0.42408,0.17865,0.00899,0.05862,4435
72125840600,15009.0,87400.0,340.0,0.54239,0.13131,0.20459,0.24937,0.03396,0.07228,4718
72125840700,16058.0,101100.0,347.0,0.39939,0.27155,0.30289,0.19382,0.00808,0.03291,4254
72127000400,7981.0,136000.0,328.0,0.59521,0.19971,0.76923,0.4015,0.05675,0.03079,877
72127000506,26776.0,321400.0,581.0,0.30926,0.38878,0.76311,0.54523,0.09951,0.04662,1330
72127000600,6332.0,215100.0,184.0,0.6092,0.14888,0.79128,0.26505,0.01456,0.07646,1661
72127000700,19881.0,237500.0,400.0,0.39054,0.26832,0.51379,0.275,0.07625,0.06821,2419
72127000900,55757.0,368800.0,963.0,0.14606,0.63374,0.29562,0.44361,0.28887,0.13539,2718
72127001001,48581.0,393600.0,911.0,0.21914,0.66685,0.31566,0.39331,0.19628,0.08145,4739
72127001100,39391.0,426900.0,775.0,0.08888,0.49706,0.38385,0.33745,0.13333,0.11374,1609
72127001200,51010.0,417200.0,923.0,0.15844,0.59523,0.33387,0.16429,0.01018,0.10749,2949
72127001301,5600.0,225800.0,180.0,0.8225,0.05107,0.94512,0.06286,0.0,0.02799,2822
72127001302,2673.0,171100.0,146.0,0.9202,0.05912,0.98632,0.0399,0.0,0.02466,5313
72127001400,13710.0,156300.0,477.0,0.43382,0.11479,0.72212,0.14677,0.05,0.01366,1171
72127001500,19545.0,169900.0,403.0,0.3813,0.29788,0.57321,0.25532,0.01995,0.03526,2439
72127001600,30769.0,183500.0,720.0,0.2244,0.57761,0.33676,0.41184,0.03563,0.06131,1631
72127001800,30529.0,149800.0,608.0,0.28529,0.31097,0.45735,0.36994,0.0662,0.06502,2030
72127001900,37174.0,345500.0,666.0,0.15867,0.5906,0.34805,0.26999,0.08958,0.07654,3397
72127002002,16111.0,168200.0,425.0,0.39641,0.33203,0.62025,0.30702,0.04386,0.03386,1004
72127002100,13668.0,156700.0,390.0,0.48773,0.22405,0.66069,0.27281,0.02693,0.0085,1882
72127002200,15191.0,137100.0,606.0,0.51864,0.18105,0.70227,0.20908,0.0,0.04581,1921
72127002300,15450.0,137500.0,347.0,0.42809,0.16761,0.75236,0.25806,0.0,0.01346,1189
72127002400,23360.0,194100.0,395.0,0.2996,0.34982,0.53716,0.35055,0.04149,0.03753,2238
