zip,year,n_stock,n_in_any,n_in_within_pr,n_in_off_island,n_new_entry,n_gap_return,rate_in_any,rate_in_within_pr,rate_in_off_island
00783,2011,219,10,5,5,11,2,0.045662100456621,0.0228310502283105,0.0228310502283105
00783,2012,212,8,7,1,2,7,0.03773584905660377,0.0330188679245283,0.0047169811320754715
00783,2013,211,6,3,3,14,5,0.02843601895734597,0.014218009478672985,0.014218009478672985
00783,2014,206,3,0,3,9,5,0.014563106796116505,0.0,0.014563106796116505
00783,2015,218,6,6,0,10,9,0.027522935779816515,0.027522935779816515,0.0
00783,2016,215,3,3,0,10,3,0.013953488372093023,0.013953488372093023,0.0
00783,2017,201,6,6,0,3,7,0.029850746268656716,0.029850746268656716,0.0
00783,2018,198,6,5,1,12,4,0.030303030303030304,0.025252525252525252,0.005050505050505051
00783,2019,208,3,2,1,14,4,0.014423076923076924,0.009615384615384616,0.004807692307692308
00783,2020,208,10,4,6,1,4,0.04807692307692308,0.019230769230769232,0.028846153846153848
00783,2021,195,5,4,1,8,2,0.02564102564102564,0.020512820512820513,0.005128205128205128
00783,2022,200,8,4,4,4,8,0.04,0.02,0.02
00783,2023,199,10,6,4,6,7,0.05025125628140704,0.03015075376884422,0.020100502512562814
00784,2005,188,0,0,0,188,0,0.0,0.0,0.0
00784,2006,184,20,17,3,18,0,0.10869565217391304,0.09239130434782608,0.016304347826086956
00784,2007,191,15,10,5,23,1,0.07853403141361257,0.05235602094240838,0.02617801047120419
00784,2008,204,23,20,3,17,1,0.11274509803921569,0.09803921568627451,0.014705882352941176
00784,2009,199,19,17,2,13,2,0.09547738693467336,0.08542713567839195,0.010050251256281407
00784,2010,169,17,11,6,6,1,0.10059171597633136,0.0650887573964497,0.03550295857988166
