zip,year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
00703,2013,130,124,6,6,0,11,0.046153846153846156,0.046153846153846156,0.0
00703,2014,143,135,8,5,3,10,0.055944055944055944,0.03496503496503497,0.02097902097902098
00703,2015,149,138,11,6,5,3,0.0738255033557047,0.040268456375838924,0.03355704697986577
00703,2016,145,135,10,8,2,12,0.06896551724137931,0.05517241379310345,0.013793103448275862
00703,2017,144,140,4,0,4,7,0.027777777777777776,0.0,0.027777777777777776
00703,2018,155,144,11,4,7,7,0.07096774193548387,0.025806451612903226,0.04516129032258064
00703,2019,146,145,1,1,0,14,0.00684931506849315,0.00684931506849315,0.0
00703,2020,150,140,10,5,5,6,0.06666666666666667,0.03333333333333333,0.03333333333333333
00703,2021,142,135,7,4,3,8,0.04929577464788732,0.028169014084507043,0.02112676056338028
00703,2022,149,140,9,6,3,7,0.06040268456375839,0.040268456375838924,0.020134228187919462
00704,2005,37,34,3,3,0,3,0.08108108108108109,0.08108108108108109,0.0
00704,2006,36,32,4,3,1,4,0.1111111111111111,0.08333333333333333,0.027777777777777776
00704,2007,44,35,9,4,5,2,0.20454545454545456,0.09090909090909091,0.11363636363636363
00704,2008,38,34,4,3,1,5,0.10526315789473684,0.07894736842105263,0.02631578947368421
00704,2009,35,30,5,4,1,5,0.14285714285714285,0.11428571428571428,0.02857142857142857
00704,2010,29,24,5,4,1,5,0.1724137931034483,0.13793103448275862,0.034482758620689655
00704,2011,32,29,3,1,2,4,0.09375,0.03125,0.0625
00704,2012,32,31,1,1,0,2,0.03125,0.03125,0.0
00704,2013,33,28,5,3,2,0,0.15151515151515152,0.09090909090909091,0.06060606060606061
00704,2014,26,26,0,0,0,3,0.0,0.0,0.0
00704,2015,34,32,2,1,1,1,0.058823529411764705,0.029411764705882353,0.029411764705882353
00704,2016,34,33,1,1,0,0,0.029411764705882353,0.029411764705882353,0.0
00704,2017,34,32,2,1,1,3,0.058823529411764705,0.029411764705882353,0.029411764705882353
00704,2018,33,29,4,2,2,1,0.12121212121212122,0.06060606060606061,0.06060606060606061
00704,2019,28,25,3,1,2,3,0.10714285714285714,0.03571428571428571,0.07142857142857142
00704,2020,23,22,1,0,1,2,0.043478260869565216,0.0,0.043478260869565216
00704,2021,28,25,3,2,1,0,0.10714285714285714,0.07142857142857142,0.03571428571428571
00704,2022,28,25,3,2,1,1,0.10714285714285714,0.07142857142857142,0.03571428571428571
00705,2005,158,147,11,8,3,11,0.06962025316455696,0.05063291139240506,0.0189873417721519
00705,2006,159,150,9,7,2,10,0.05660377358490566,0.0440251572327044,0.012578616352201259
