buyer,parcels,value
HAIRO GROUP LLC,7,532700
DREAM INVESTMENT LLC,7,645157
EXO PROPERTIES LLC,7,824200
DL CAPITAL PARTNERS LLC,7,1964350
ANKAR INVESTMENT LLC,7,356500
ICON MEDIA CORP,7,905000
JRRG OPERATIONS LLC,7,2021500
ESTRELLA PROPERTY MANAGEMENT LLC,7,1241490
SJ REAL ESTATES CORP,7,2841000
CARIBBEAN PE REALTY INC,7,399994
JSS INVESTMENT LLC,7,2833800
VEMASS REALTY LLC,7,14350000
OREON GROUP CORP,7,1236980
JMJ HOLDINGS LLC,7,1637500
GARVIC LLC,7,1203358
POMPINA INVESTMENT I,7,23242391
MMC GUARANTEE LLC,7,155451115
ROSADO FARMS LLC,7,265000
RJDC DEVELOPMENT LLC,7,78750
COOP A C DE AGUADA,7,1593357
RER REALTY INC,7,2425000
CORP DEL PROYECTO EN,7,612600
LAGOMIR INC,7,653000
RF INVESTMENTS LLC,7,5823072
SB AEGIS LLC,7,798500
THE NORTH AMERICAN MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION INC,7,3825000
FLORAM INC,7,2706800
TRI J REALTY INC,7,4979000
ESJ STORAGE LLC,7,259000
BALI PR LLC,7,1550000
CJD REALTY CORP,7,10252100
SAT OFFICE 2 INC,7,319998
PIT OFFICE 3 INC,7,319998
PIT OFFICE 2 INC,7,319998
NIEVES ESTATE PROPPERTIES INC,7,455700
ALAS DEVELOPMENT LLC,7,2643000
MIRAMAR PLAZA HOLDINGS LLC,7,271553
PR MANAGEMENT LLC,7,1740000
TIMA CORP,7,1082000
HMH REAL ESTATE INC,7,1372071
GAMA REALTY CORP,6,1928625
REAL ESTATE PROPERTIES COMMODITIES LLC,6,30102018
FLAMBO GROUP LLC,6,480440
DESIGN BUILD LLC,6,816570
COMPRAMOS TU CASITA LLC,6,542126
LUCRA LLC,6,1098000
TWIN INVESTMENT LLC,6,388000
AGUAS DEL CARIBE INC,6,848030
EMPRESAS BERRIOS INC,6,19873698
H G LLC,6,705000
ROYAL PROPERTIES INC,6,12340000
OSP CONSORTIUM LLC,6,16356200
CESKI INC,6,635000
T J LLC,6,510030
RR FARM CORP,6,1059632
KAMAL PROPERTIES LLC,6,1750000
ONE TO SEVEN INC,6,6370000
RM PROPERTIES LLC,6,360000
CALEB INC,6,4522300
LITANI GROUP LLC,6,2265000
DSI LABS INC,6,1172000
PORTAL DORADO INC,6,688246
FG INVESTMENT LLC,6,956000
CORNERSTONE HOLDINGS LLC,6,1126279
RL PARTNERS LLC,6,1293000
JLFG FARM LLC,6,2076410
DOS LAGOS INVESTMENT,6,400000
BROTHER ELECTRIC GENERAL CONTRACTOR INC,6,480000
MED CENTRO INC,6,1756682
BOSCO CREDIT X LLC,6,1159932
IOCP PROPERTIES LLC,6,780000
VIVIRE PROPERTIES LLC,6,636125
T B PETROLEUM CORP,6,2075000
ICOM ALONSO INC,6,1687500
SPF LLC,6,3910097
MATRIX PROPERTIES LLC,6,1930000
MI CASA INTERNATIONAL MANAGEMENT LLC,6,2425100
EMPRESAS MATIAS INC,6,1378465
JAGI INVESTMENT CORP,6,2800000
NJH REALTY LLC,6,8045000
WEST COAST CAPITAL LLC,6,1604625
JDR CORPORATION,6,508276
HIRAL INVESTMENTS IN,6,2108900
SUKHA INC,6,150000
RINCON BROS 1 LLC,6,848430
FARMACIA BEATRIZ LLC,6,1887000
ERCO PROPERTIES INC,6,2479680
ACCESS GROUP LLC,6,2145000
INVERSIONES MAM LLC,6,593000
HERMANOS LOPEZ ZAYAS INC,6,1656100
BORINQUEN INVESTMENT LLC,6,38227022
AVENTUS LLC,6,1170000
PAGAN RENTAL PROPERTY LLC,6,1674000
WESTEN PROPERTIES,6,437779
RC IMPORTS LLC,6,2317643
INVERSIONES QUINTANA LLC,6,27919353
NICE REALTY GROUP LL,6,769000
HOGAR CREA INC,6,1181900
HIRAL INVESTMENT COR,6,2107502
AVLS CORP,6,2189639
REO PROPERTIES CORP,6,258181
JB PROPERTIES LLC,6,2112005
V ACQUISITIONS LLC,6,884000
AMIGOS DEL BOSQUE LLC,6,486300
BORINQUEN INVESTMENTS LLC,6,6507000
VJSA HOLDINGS LLC,6,795000
SOB RE HOLDING LLC,6,1197000
DICAMAR CORP,6,928500
JJ ENTERPRISES CORPORATION,6,308900
BANCO POPULAR D PR,6,639683
VELBELA GUEST HOUSE LLC,6,655000
FR ENTREPRICES LLC,6,385860
SONRINELL CORP,6,1389395
SE RENTA PR LLC,6,920101
REAL LIFE PROPERTIES LLC,6,4772000
ORTIZ MEDICAL GROUP,6,789500
LUXX MATRIX LLC,6,1403000
RSAC REAL ESTATE LLC,6,926500
RINCON LA VILLA INC,6,111574996
METRICSMED PR LLC,6,2851000
ENDOMED REALTY GROUP,6,2893000
FULL POWER REALTY LLC,6,2435000
RICH PORT REAL RSTATE CORP,6,4125000
GP REALTY LLC,6,757000
POPPY 47 INC,6,1719000
CMJJ CORP,6,6495000
DL CAPITAL PARTNERS,6,876500
SOLYMAR ENTERPRISES INC,6,1191000
OSWACO INVESTMENT IN,6,35878663
EXCLUSIVE PROPERTIES,6,644106
CARIBE COOL AIR CORP,6,1268000
CONSTRUCTORA LOPEZ Y RIVERA INC,6,885000
CARENS DEV CORP,6,1696396
NAPA VALLEY CORP,6,642484
JAVA INVESTMENT LLC,6,709250
SE LEVANTA LLC,6,3175000
CEL PROPERTIES LLC,6,1665000
CIG DEVELOPMENT LLC,6,5970000
GARCOL REALTY CORP,6,685000
CORPORACION GRUPO JM,6,8230000
SJ PROPERTY MANAGEMENT LLC,6,1237500
PLANGF LLC,6,541720
BELA ENTERPRISES S E,6,12307668
EV BUSINESS CORP,6,615517
BMC REALTY I LLC,6,9385800
MEDIN PROPERTIES LLC,6,1380000
CORP PROYECTO ENLACE,6,1580400
ROOSEVELT REALTY LLC,6,3450000
AM PROPERTY MANAGEMENT LLC,6,1230000
DORTA CONSTRUCTION CORPORATION,6,172881
DMC PROPERTIES CORP,6,767768
RRD CASH CARRY INC,6,1792047
MRD OFFICE 2 INC,6,318570
MRD OFFICE I INC,6,318570
SAT OFFICE 1 INC,6,274284
PIT OFFICE 1 INC,6,276284
COMMERCIAL 18 REALTY,6,3372830
NIEVES ESTATE PROPERTIES INC,6,336300
GROUP SERVILES INC,6,1566000
MAX DE DIEGO LLC,6,31498450
MR 152 LUNA LLC,6,495362
MIRAMAR PLAZA LLC,6,654100
MR SAN PABLO LLC,6,2255522
MY LLC,6,2026000
BOSCO CREDIT XVIII LLC,6,5500000
DEAN ENTERPRISES LLC,6,3475000
MASSRI PR 3 LLC,6,1050406
DORADO VILLAGE 8 LLC,6,2282300
BRIGHT RAVENS DCE LLC,6,14050000
DW BEACHFRINT LLC,6,300000
ISABELA TOURISM 1 LLC,6,1610000
MAR ARCH INC,5,2400000
SKY INMOBILIARIA LLC,5,1855000
YANICA REALTY LLC,5,1330000
VENTURE MANAGEMENT INC,5,600000
COOPERATIVA AHORRO Y,5,925400
J K INVESTMENT PROPERTY INC,5,311786
ANTILLES GAS OIL CORPORATION,5,3600000
JVI HOLDING LLC,5,1730000
RH PROPERTY INC,5,863555
TS DEVELOPMENT LLC,5,659300
HS REALTY INC,5,480655
JA SOLAR SERVICES INC,5,1386001
A P LLC,5,1120000
LA IGLESIA DE DIOS INC,5,231500
POWER INVESTMENT COR,5,940000
LIME PROPERTIES LTD,5,347827
DSGN LLC,5,237000
PRCUM INC,5,1825000
CLOSING CONTRACTOR LLC,5,405000
MOGAVA LLC,5,1280000
FELICIANO REALTY LLC,5,1145000
AG AGRO INC,5,2680868
TROPICAL FARM CORP,5,2110000
INVERSIONES AJC INC,5,3085000
WEST BROTHERHOOD LLC,5,384750
KIM SAM PR RETAIL LLC,5,132500000
PAN AMERICAN GRAIN COMPANY INC,5,10610000
ALA HOLDINGS LLC,5,1511500
DC VALLE TANIA LLC,5,13100000
P A PROPERTIES LLC,5,753850
ROMAN CELLO FARM LLC,5,622500
MS PR HOLDINGS LLC,5,1394510
CMIYA INVESTMENT INC,5,116770
MEVIPE CORP,5,14005000
UA MB LLC,5,1249708
NANICE CORP,5,246000
HOJARASCA INC,5,814700
PARAPIEZAS CORP,5,6035000
CONFORMATIC CORP,5,1870000
VIGOR PROPERTIES INC,5,762500
KARVA INVESTMENT LLC,5,799000
ROQUE A RIVERA INC,5,8250000
FHT RENTAL INC,5,580851
POPULAR FINANCE INC,5,225500
FRANKIE TRUST,5,825000
CIRACET CORP,5,2279982
INVERSIONES TORRES IRIZARRY INC,5,325000
OLSEN REALTY LLC,5,6667000
GMI INVESTMENT CORP,5,1630000
CARIBBEAN CHEMICAL INDUSTRIES CORP,5,1203276
JMV DEVELOPMENT LLC,5,2736875
BNR CORPORATION,5,835000
PIV PROPERTIES LLC,5,1725000
PEREZ FERRARI REALTY LLC,5,1673000
OAP PUERTO RICO LLC,5,11140650
MR INVESTMENT MANAGE,5,108000
PAN PEPIN INC,5,1975000
CORNERSTONE HOLDING LLC,5,420000
CROWN CASTLE PR LLC,5,1176750
JB REALTY LLC,5,306500
AG FARMS LLC,5,671429
SOUTH AMERICAN CAPITAL CORP,5,4210000
INVERSIONES BORIQUEN LLC,5,1041000
C S ENTERPRISES INC,5,2233000
RG PREMIER BANK OF P,5,709707
JAB LANDS LLC,5,820000
PALMAS HILL PARTNERS,5,4630000
JF REALTY LLC,5,1552000
EXPERT ENERGY SOLUTION LLC,5,314174
CMA LLC,5,328000
INMOBILIARIA SR INC,5,797000
SUSMER REALTY LLC,5,1119000
COMERCIAL TORO INC,5,3550000
JAMAR S PROPERTIES LLC,5,5810000
LIME HOME LTD,5,310966
OCASIO RENTAL S INC,5,1082500
EGM MEDICAL CSP RETIREMENT PLAN AND TRUST,5,1156263
BENO INVESTMENT CORP,5,558500
CPD LLC,5,823861
THE MONEY HOUSE INC,5,862843
BONAIRE LLC,5,498000
AMBERT INVESTMENT GROUP LLC,5,527833
HOSPITAL MENONITA HUMACAO INC,5,1945000
LAM INVESTMENTS LLC,5,160000
SACE CORPORATION,5,1310000
LA CARPA CORP,5,28056356
AJCE LLC,5,284100
SEGUROS N COLON INC,5,827050
PVF PROPERTIES LLC,5,548000
PR ENCO REALTY GROUP,5,5002928
ALEJANDRO INVESTMENT,5,236000
LONGBRIDGE FINANCIAL LLC,5,950000
HEALTH HOME SOLUTION GROUP INC,5,945000
MARQUEZ GRACIANI PATRIMONY TRUST,5,900000
BORINQUEN CONTAINER CORP,5,570057
LIKE FAMILY INC,5,1428000
CARAPEVA INC,5,4753000
AGA INVESTMENTS LLC,5,587368
SAN FELIX INVESTMENT,5,1209000
ER FAMILY INC,5,900000
GREEN WALL LUXURY LLC,5,2065000
ASAMA INC,5,218000
CIP INVESTMENTS INC,5,155000
PEREZ PEREZ ASSOCIATE PROPERTIES LLC,5,221000
PABON GROUP ASOC INC,5,87500
VENUS APARTMENTS INC,5,180500
RENTS R US LLC,5,825348
REM INVESTMENTS LLC,5,670455
WESTERN PROPERTIES,5,298572
CLINICA YAGUEZ INC,5,4165000
PAYSTAR REALTY LLC,5,913750
2KD REALTY INC,5,1255800
C C REAL ESTATE LLC,5,641000
BLINDS REALTY INC,5,1752000
TWINS HOME INVESTMENT LLC,5,580000
D C LLC,5,1836100
REVERSE MORTGAGE FUNDING LLC,5,10554250
AURUM ELEMENT CORP,5,1075000
HLH INVESTMENT CORP,5,200000
REHABITA PR LLC,5,443000
LUICTOR LLC,5,382000
ZUAN LLC,5,606000
RCH LLC,5,1067000
ION LEED LLC,5,7625000
RRR DEV LLC,5,743000
GULF PLAZA INC,5,5918524
BELLA PROPERTIES LLC,5,406000
MASA LLC BY SASHA,5,405000
JMC INVESTMENT LLC,5,786490
G S PROPERTY LLC,5,1179200
NMA ESPERANZA CORP,5,11020000
CANTERA CARRAIZO INC,5,512276
PROYECTO GIRASOL INC,5,2729287
INMOBILIRIA INC,5,2487080
BENROS HOLDINGS LLC,5,463700
ORNAMENT HOUSES LLC,5,319894
UTOPIA INVESTMENTS CORP,5,932250
JFC INVESTMENT CORP,5,83350
FIRST NMD DORADO INC,5,589000
DR HOUSE REALTY LLC,5,277000
AGRONATURA INC,5,1462077
VIZO CORPORATION,5,550000
COVEAL INC,5,991380
PM PROPERTIES DEVELOPMENT CORP,5,5295000
BOU HOSPITALITY LLC,5,1102000
NT DYNAMIC FUND LLC,5,1933478
REYES MANGUAL LLC,5,950000
KS SERVICES LLC,5,1530000
RESIDENCIAS BALMORAL INC,5,558000
INMOBILIARIA SEM LLC,5,815000
ICV INVESTMENTS LLC,5,844500
BEST LEGAL INVESTMENT LLC,5,114400
AMAZONA INVESTMENT LLC,5,860000
TRI MANAGEMENT CORP,5,732050
MC3 LLC,5,914500
DUAL LLC,5,615000
ONE BLUE OB LLC,5,1004000
ZYMA CORPORATION,5,187500
CORNERSTONE CORP,5,340500
ALDO RES LLC,5,363825
JAPS PROPERTIES INC,5,777400
MERCAN INVESTMENT LL,5,278879
CASH EXPRESS PR INC,5,1251000
PR PROPERTIES LLC,5,697312
