tract_geoid,zcta,share_of_tract_land,is_dominant_zcta,arealand_part,areawater_part,arealand_tract
72047530200,00783,1.0,True,10624005,7839,10624005
72047530300,00783,1.0,True,2013808,0,2013808
72047530400,00719,0.0946,False,1490252,0,15746951
72047530400,00783,0.9054,True,14256699,2166,15746951
72047530500,00783,1.0,True,29149873,1683,29149873
72047530600,00719,0.0037,False,151955,0,41364182
72047530600,00783,0.9963,True,41212227,4258,41364182
72049950500,,0.0,False,0,3440416,30161189
72049950500,00775,1.0,True,30161189,43526072,30161189
72049990501,,,False,0,360146182,0
72051540100,00646,0.1625,False,1338721,765247,8237413
72051540100,00950,0.8375,True,6898692,1989343,8237413
72051540200,00646,1.0,True,5812936,2173191,5812936
72051540300,00646,1.0,True,956396,26085,956396
72051540401,00646,1.0,True,7059840,49640,7059840
72051540402,00646,1.0,True,7666566,140480,7666566
72051540500,00646,1.0,True,7936137,3765,7936137
72051540600,00646,1.0,True,10240848,52832,10240848
72051540700,00646,1.0,True,11958935,40260,11958935
72051990021,,,False,0,73998927,0
72053150102,00738,1.0,True,757167,0,757167
72053150105,00738,1.0,True,3464754,0,3464754
72053150106,00738,1.0,True,9366037,74099045,9366037
72053150200,00738,1.0,True,8397580,666499,8397580
72053150301,00738,1.0,True,1716919,0,1716919
72053150302,00738,1.0,True,1367284,17510,1367284
72053150400,00738,0.5758,True,1467807,56857,2549197
72053150400,00740,0.4242,False,1081390,1552447,2549197
72053150500,00738,1.0,True,4199522,1982,4199522
72053150601,00738,1.0,True,8132829,1724046,8132829
72053150602,00738,1.0,True,37497361,533570,37497361
72053990103,,,False,0,116700813,0
72054580100,00617,0.0065,False,166039,0,25673869
72054580100,00650,0.9935,True,25507830,28922,25673869
72054580200,00650,1.0,True,13717628,5090,13717628
72055960900,00653,1.0,True,13138810,43308,13138810
72055961000,00647,0.4676,False,14009918,38058,29963610
72055961000,00653,0.5324,True,15953692,71550,29963610
72055961100,00653,1.0,True,24583071,4633768,24583071
72055961200,00653,1.0,True,386843,28349,386843
72055961300,00653,1.0,True,1677449,498516,1677449
72055961400,00647,1.0,True,1511871,478247,1511871
72055961500,,0.0001,False,3051,147263,24698418
72055961500,00647,0.9999,True,24695367,7446785,24698418
72055990000,,,False,0,96467299,0
72057270100,00784,1.0,True,63848270,1213920,63848270
72057270201,00704,0.0255,False,588414,0,23108925
72057270201,00784,0.9745,True,22520511,13718001,23108925
72057270202,00784,1.0,True,51725471,151239,51725471
72057270300,00784,1.0,True,16028737,1095251,16028737
72057270400,00784,1.0,True,648295,0,648295
72057270500,00784,1.0,True,2968065,1093,2968065
72057270600,00784,1.0,True,1396056,0,1396056
72057270700,00784,1.0,True,6384602,2936,6384602
72057270800,00784,1.0,True,2352698,0,2352698
72057992600,,,False,0,92012214,0
72059740101,00656,1.0,True,31665160,4701,31665160
72059740102,00656,1.0,True,14115012,2620,14115012
72059740200,00656,1.0,True,22131990,777,22131990
72059740300,00656,1.0,True,1733242,478,1733242
72059740400,00656,0.9108,True,36281323,10476821,39834979
72059740400,00698,0.0892,False,3553656,6050,39834979
72059990001,,,False,0,46419939,0
72061040101,00965,1.0,True,794090,328905,794090
72061040102,00965,1.0,True,322452,0,322452
72061040103,00965,1.0,True,333528,0,333528
72061040200,00934,0.3885,True,2537923,1283,6533010
72061040200,00962,0.2695,False,1760361,4135,6533010
72061040200,00965,0.1369,False,894378,0,6533010
72061040200,00966,0.2052,False,1340348,0,6533010
72061040301,00968,1.0,True,522605,0,522605
72061040302,00966,0.3937,False,427347,0,1085532
72061040302,00968,0.6063,True,658185,0,1085532
72061040303,00966,1.0,True,504952,0,504952
72061040304,00959,0.0383,False,72119,0,1881789
72061040304,00966,0.9617,True,1809670,0,1881789
72061040411,00966,0.7885,True,1376584,0,1745764
72061040411,00969,0.2115,False,369180,0,1745764
72061040412,00969,1.0,True,524629,0,524629
72061040422,00966,0.1204,False,88963,0,738901
72061040422,00969,0.8796,True,649938,0,738901
72061040432,00966,0.0472,False,32907,0,696550
72061040432,00969,0.9528,True,663643,0,696550
72061040442,00969,0.9007,True,991416,0,1100745
72061040442,00971,0.0993,False,109329,0,1100745
72061040443,00969,1.0,True,1857294,15299,1857294
72061040444,00959,0.0307,False,45500,0,1481177
72061040444,00969,0.5587,True,827490,17182,1481177
72061040444,00971,0.4106,False,608187,22945,1481177
72061040445,00969,0.3272,False,341131,0,1042628
72061040445,00971,0.6728,True,701497,0,1042628
72061040446,00969,0.4427,False,634183,0,1432412
72061040446,00971,0.5573,True,798229,0,1432412
72061040500,00969,0.9573,True,1483498,589,1549703
72061040500,00971,0.0427,False,66205,0,1549703
72061040601,00926,0.1115,False,354216,0,3178063
72061040601,00969,0.1036,False,329217,0,3178063
72061040601,00971,0.785,True,2494630,0,3178063
72061040603,00969,0.8788,True,860533,0,979266
72061040603,00971,0.1212,False,118733,0,979266
72061040604,00969,0.6082,True,880222,19863,1447222
72061040604,00971,0.3918,False,567000,5515,1447222
72061040701,00971,1.0,True,5069669,0,5069669
72061040702,00969,0.1338,False,683365,382,5106600
72061040702,00971,0.8662,True,4423235,35873,5106600
72061040800,00971,1.0,True,4539742,0,4539742
72061040900,00971,1.0,True,13122434,798,13122434
72061041000,00725,0.2256,False,1092430,0,4843156
72061041000,00926,0.027,False,130539,0,4843156
72061041000,00971,0.7475,True,3620187,260,4843156
72061041100,00725,0.4153,False,3742569,0,9010720
72061041100,00971,0.5847,True,5268151,15274,9010720
72063210100,00778,0.986,True,21242131,520695,21544517
72063210100,00976,0.014,False,302386,0,21544517
